Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-15 15:13:05.873,0.299,TCP  ,192.168.220.4,58305,10117_88,443.0,6,     699,1,.AP.S.,0,normal,---,---,---
2017-03-16 10:45:32.028,0.0,UDP  ,DNS,53,192.168.100.4,44351.0,1,      86,1,......,0,normal,---,---,---
2017-03-17 11:47:31.291,0.02,TCP  ,192.168.220.12,46440,10575_79,443.0,2,     178,1,.AP...,0,normal,---,---,---
2017-03-20 16:16:50.460,0.024,TCP  ,192.168.220.16,51611,10296_232,80.0,2,     140,1,.A..S.,0,normal,---,---,---
2017-03-20 10:43:49.772,0.003,TCP  ,192.168.220.16,44651,10784_4,443.0,4,     264,1,.A...F,0,normal,---,---,---
2017-03-16 10:27:13.833,0.083,TCP  ,10527_6,443,192.168.220.9,45401.0,7,     795,1,.AP...,32,normal,---,---,---
2017-03-21 16:21:45.273,0.0,TCP  ,11380_72,443,192.168.220.15,59354.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-16 16:53:02.631,0.0,TCP  ,192.168.220.16,44795,11294_119,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-16 09:10:09.403,0.951,TCP  ,192.168.220.4,46326,10082_175,80.0,6,    1284,1,.AP.S.,0,normal,---,---,---
2017-03-20 11:51:09.393,0.375,TCP  ,192.168.220.6,44166,12349_142,443.0,10,    1549,1,.AP.S.,0,normal,---,---,---
2017-03-15 06:06:51.103,0.037,UDP  ,DNS,53,192.168.220.4,58872.0,2,     406,1,......,0,normal,---,---,---
2017-03-20 17:55:14.251,0.0,TCP  ,10321_204,443,192.168.200.8,57937.0,3,     193,1,.APR..,0,normal,---,---,---
2017-03-16 11:44:43.374,0.005,TCP  ,12340_186,443,192.168.220.6,44531.0,2,     499,1,.AP...,32,normal,---,---,---
2017-03-20 13:29:13.504,0.0,UDP  ,192.168.210.5,61677,DNS,53.0,1,      76,1,......,0,normal,---,---,---
2017-03-15 14:27:53.632,0.04,TCP  ,192.168.220.12,57013,11339_118,80.0,2,     701,1,.AP...,0,normal,---,---,---
2017-03-16 05:41:35.181,0.055,TCP  ,EXT_SERVER,8000,192.168.200.9,50742.0,7,     654,1,.AP.SF,32,normal,---,---,---
2017-03-15 12:39:31.240,0.0,TCP  ,192.168.200.8,56016,10081_164,443.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-15 13:46:00.085,0.001,TCP  ,12169_105,443,192.168.220.6,42548.0,2,     357,1,.AP...,32,normal,---,---,---
2017-03-15 10:51:00.912,0.0,TCP  ,192.168.220.15,47863,10790_112,443.0,2,     108,1,...R..,32,normal,---,---,---
2017-03-20 06:12:59.525,0.019,TCP  ,192.168.220.6,40223,10079_58,443.0,3,     198,1,.A...F,0,normal,---,---,---
2017-03-15 18:44:53.812,0.0,TCP  ,192.168.220.8,40137,10325_11,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-16 14:49:04.598,0.0,TCP  ,192.168.220.6,59311,10979_53,80.0,1,      54,1,.A...F,0,normal,---,---,---
2017-03-21 08:05:41.420,0.152,TCP  ,192.168.220.4,58398,10078_82,443.0,8,    1104,1,.AP.S.,0,normal,---,---,---
2017-03-17 12:09:24.706,0.185,TCP  ,10296_228,80,192.168.220.12,38977.0,2,     968,1,.AP...,32,normal,---,---,---
2017-03-15 08:13:01.508,0.323,TCP  ,192.168.220.16,41068,10007_17,80.0,5,    2410,1,.AP.S.,0,normal,---,---,---
2017-03-20 16:08:09.288,0.328,TCP  ,10214_37,443,192.168.220.8,53445.0,15,    5592,1,.AP.S.,32,normal,---,---,---
2017-03-16 12:15:52.831,0.0,TCP  ,192.168.220.6,56100,12782_251,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-17 11:47:48.499,0.0,UDP  ,192.168.220.16,55312,DNS,53.0,2,     158,1,......,0,normal,---,---,---
2017-03-20 09:12:11.347,0.0,TCP  ,10085_31,80,192.168.220.6,51935.0,1,      74,1,.A..S.,32,normal,---,---,---
2017-03-16 11:11:45.211,0.0,TCP  ,192.168.220.4,38777,13209_148,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 12:46:34.097,0.106,TCP  ,11177_69,80,192.168.220.10,37678.0,2,     132,1,.A...F,32,normal,---,---,---
2017-03-21 17:18:21.284,0.0,TCP  ,192.168.220.14,36744,10022_249,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 15:54:17.406,0.0,TCP  ,192.168.200.4,39055,10056_57,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-17 11:59:55.897,0.0,TCP  ,192.168.220.12,60044,10296_238,80.0,1,      66,1,.A....,0,normal,---,---,---
